Lokasyon,m2,Bina Yaşı,Fiyat
Muğla / Menteşe / Emirbeyazıt Mah.,120 m²,26 Yaşında,4.950.000 TL
Muğla / Menteşe / Orhaniye Mah.,165 m²,6 Yaşında,11.650.000 TL
Muğla / Menteşe / Gülağzı Mah.,172 m²,Sıfır Bina,16.500.000 TL
Muğla / Menteşe / Muslihittin Mah.,110 m²,30 Yaşında,5.300.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,52 m²,8 Yaşında,4.350.000 TL
Muğla / Menteşe / Karamehmet Mah.,165 m²,15 Yaşında,8.850.000 TL
Muğla / Menteşe / Orhaniye Mah.,170 m²,26 Yaşında,7.950.000 TL
Muğla / Menteşe / Kötekli Mah.,40 m²,11 Yaşında,3.400.000 TL
Muğla / Menteşe / Yeşilyurt Mah.,500 m²,10 Yaşında,9.000.000 TL
Muğla / Menteşe / Bayır Mah.,87 m²,Sıfır Bina,3.950.000 TL
Muğla / Menteşe / Kötekli Mah.,65 m²,6 Yaşında,4.350.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,115 m²,21 Yaşında,5.900.000 TL
Muğla / Menteşe / Bayır Mah.,104 m²,4 Yaşında,4.500.000 TL
Muğla / Menteşe / Bayır Mah.,80 m²,Sıfır Bina,5.000.000 TL
Muğla / Menteşe / Kiramettin Mah.,90 m²,Sıfır Bina,4.450.000 TL
Muğla / Menteşe / Karamehmet Mah.,150 m²,15 Yaşında,9.200.000 TL
Muğla / Menteşe / Gülağzı Mah.,130 m²,16 Yaşında,7.500.000 TL
Muğla / Menteşe / Orhaniye Mah.,140 m²,16 Yaşında,8.000.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,65 m²,7 Yaşında,5.650.000 TL
Muğla / Menteşe / Yeniköy Mah.,180 m²,18 Yaşında,8.650.000 TL
Muğla / Menteşe / Kötekli Mah.,88 m²,6 Yaşında,4.450.000 TL
Muğla / Menteşe / Akçaova Mah.,85 m²,9 Yaşında,19.750.000 TL
Muğla / Menteşe / Bayır Mah.,150 m²,31 Yaşında,4.000.000 TL
Muğla / Menteşe / Karşıyaka Mah.,120 m²,15 Yaşında,7.000.000 TL
Muğla / Menteşe / Yeniköy Mah.,60 m²,6 Yaşında,4.600.000 TL
Muğla / Menteşe / Orhaniye Mah.,115 m²,6 Yaşında,8.750.000 TL
Muğla / Menteşe / Akçaova Mah.,145 m²,Sıfır Bina,14.800.000 TL
Muğla / Menteşe / Hacırüstem Mah.,286 m²,31 Yaşında,8.900.000 TL
Muğla / Menteşe / Karamehmet Mah.,130 m²,6 Yaşında,9.600.000 TL
Muğla / Menteşe / Yerkesik Mah.,160 m²,Sıfır Bina,12.500.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,140 m²,31 Yaşında,8.600.000 TL
Muğla / Menteşe / Orhaniye Mah.,150 m²,26 Yaşında,6.500.000 TL
Muğla / Menteşe / Camikebir Mah.,178 m²,31 Yaşında,2.250.000 TL
Muğla / Menteşe / Yeniköy Mah.,65 m²,6 Yaşında,3.200.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,165 m²,26 Yaşında,8.950.000 TL
Muğla / Menteşe / Muslihittin Mah.,140 m²,30 Yaşında,7.250.000 TL
Muğla / Menteşe / Kötekli Mah.,60 m²,11 Yaşında,3.600.000 TL
Muğla / Menteşe / Kötekli Mah.,90 m²,16 Yaşında,5.750.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,Sıfır Bina,30.000 TL
Muğla / Menteşe / Kötekli Mah.,130 m²,6 Yaşında,7.450.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,135 m²,26 Yaşında,7.250.000 TL
Muğla / Menteşe / Yerkesik Mah.,141 m²,Sıfır Bina,9.000.000 TL
Muğla / Menteşe / Yeniköy Mah.,95 m²,15 Yaşında,6.000.000 TL
Muğla / Menteşe / Yenice Mah.,50 m²,15 Yaşında,6.990.000 TL
Muğla / Menteşe / Muslihittin Mah.,125 m²,22 Yaşında,9.600.000 TL
Muğla / Menteşe / Akkaya Mah.,370 m²,1 Yaşında,30.000.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,105 m²,27 Yaşında,4.950.000 TL
Muğla / Menteşe / Karamehmet Mah.,175 m²,10 Yaşında,15.250.000 TL
Muğla / Menteşe / Şeyh Mah.,330 m²,31 Yaşında,8.900.000 TL
Muğla / Menteşe / Ortaköy Mah.,320 m²,Sıfır Bina,59.000.000 TL
Muğla / Menteşe / Yeşilyurt Mah.,1.000 m²,12 Yaşında,16.500.000 TL
Muğla / Menteşe / Kötekli Mah.,70 m²,11 Yaşında,3.850.000 TL
Muğla / Menteşe / Ortaköy Mah.,135 m²,Sıfır Bina,20.000.000 TL
Muğla / Menteşe / Orhaniye Mah.,1.677 m²,27 Yaşında,19.000.000 TL
Muğla / Menteşe / İkizce Mah.,558 m²,15 Yaşında,12.000.000 TL
Muğla / Menteşe / Bayır Mah.,125 m²,2 Yaşında,5.500.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,100 m²,26 Yaşında,5.500.000 TL
Muğla / Menteşe / Şeyh Mah.,220 m²,26 Yaşında,7.100.000 TL
Muğla / Menteşe / Akçaova Mah.,167 m²,Sıfır Bina,14.990.000 TL
Muğla / Menteşe / Kötekli Mah.,55 m²,11 Yaşında,4.100.000 TL
Muğla / Menteşe / Karamehmet Mah.,138 m²,Sıfır Bina,13.500.000 TL
Muğla / Menteşe / Kötekli Mah.,60 m²,11 Yaşında,4.150.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,144 m²,31 Yaşında,7.750.000 TL
Muğla / Menteşe / Şeyh Mah.,270 m²,103 Yaşında,12.750.000 TL
Muğla / Menteşe / Karamehmet Mah.,110 m²,9 Yaşında,6.500.000 TL
Muğla / Menteşe / Akçaova Mah.,170 m²,11 Yaşında,12.950.000 TL
Muğla / Menteşe / Karamehmet Mah.,100 m²,4 Yaşında,8.500.000 TL
Muğla / Menteşe / Akkaya Mah.,130 m²,5 Yaşında,4.700.000 TL
Muğla / Menteşe / Yenice Mah.,150 m²,Sıfır Bina,11.000.000 TL
Muğla / Menteşe / Yeniköy Mah.,2.658 m²,5 Yaşında,130.000.000 TL
Muğla / Menteşe / Yenice Mah.,200 m²,5 Yaşında,17.500.000 TL
Muğla / Menteşe / Kötekli Mah.,55 m²,11 Yaşında,4.100.000 TL
Muğla / Menteşe / Bayır Mah.,80 m²,Sıfır Bina,5.000.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,Sıfır Bina,4.000.000 TL
Muğla / Menteşe / Akçaova Mah.,122 m²,3 Yaşında,13.500.000 TL
Muğla / Menteşe / Ortaköy Mah.,300 m²,6 Yaşında,16.400.000 TL
Muğla / Menteşe / Yeniköy Mah.,45 m²,7 Yaşında,3.250.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,Sıfır Bina,5.000.000 TL
Muğla / Menteşe / Ortaköy Mah.,330 m²,3 Yaşında,37.000.000 TL
Muğla / Menteşe / Muslihittin Mah.,130 m²,15 Yaşında,6.500.000 TL
Muğla / Menteşe / Karamehmet Mah.,180 m²,8 Yaşında,11.950.000 TL
Muğla / Menteşe / Paşapınarı Mah.,250 m²,20 Yaşında,26.000.000 TL
Muğla / Menteşe / Karamehmet Mah.,140 m²,25 Yaşında,8.750.000 TL
Muğla / Menteşe / Yeşilyurt Mah.,100 m²,5 Yaşında,8.000.000 TL
Muğla / Menteşe / Muslihittin Mah.,152 m²,5 Yaşında,12.000.000 TL
Muğla / Menteşe / Bayır Mah.,80 m²,Sıfır Bina,4.000.000 TL
Muğla / Menteşe / Gülağzı Mah.,150 m²,1 Yaşında,14.750.000 TL
Muğla / Menteşe / Kiramettin Mah.,165 m²,30 Yaşında,2.750.000 TL
Muğla / Menteşe / Yenice Mah.,85 m²,26 Yaşında,4.400.000 TL
Muğla / Menteşe / Ortaköy Mah.,270 m²,18 Yaşında,20.495.000 TL
Muğla / Menteşe / Yerkesik Mah.,165 m²,11 Yaşında,6.550.000 TL
Muğla / Menteşe / Yeşilyurt Mah.,110 m²,12 Yaşında,5.400.000 TL
Muğla / Menteşe / Bayır Mah.,145 m²,1 Yaşında,7.500.000 TL
Muğla / Menteşe / Kötekli Mah.,130 m²,4 Yaşında,7.000.000 TL
Muğla / Menteşe / Yeniköy Mah.,140 m²,Sıfır Bina,13.500.000 TL
